epoch,loss,acc_0,acc_1,acc_2
16,3.644439174864146,0.07,0.22,0.35
17,1.6879002881648024,0.09,0.29,0.46
18,1.623257637210774,0.09,0.29,0.46
19,1.5482070849406788,0.09,0.28,0.46
20,1.5138568877373049,0.09,0.28,0.46
21,1.4337570006891158,0.09,0.28,0.46
22,1.3720717309130397,0.09,0.28,0.46
23,1.2839488327182893,0.09,0.28,0.45
24,1.2113631748787448,0.09,0.28,0.45
25,1.164515517341733,0.09,0.28,0.45
26,1.1419857366038073,0.09,0.28,0.45
27,1.11129236163257,0.09,0.28,0.45
28,1.0917809338538678,0.09,0.28,0.45
29,1.0763446237746772,0.09,0.28,0.45
30,1.0521067463585576,0.09,0.28,0.44
31,1.046903400999305,0.09,0.28,0.44
32,1.0365110563220221,0.09,0.27,0.44
33,1.0271906214234436,0.09,0.27,0.44
34,1.0308272841728914,0.09,0.27,0.44
35,1.0103250626646452,0.09,0.27,0.44
36,0.9980750029370276,0.09,0.27,0.44
37,0.9914347518734263,0.09,0.27,0.44
38,0.9895430165812193,0.09,0.27,0.44
39,0.9792932259144934,0.09,0.27,0.44
40,0.982503413700278,0.09,0.27,0.44
41,0.976594208256311,0.09,0.27,0.44
42,0.9754688118839285,0.09,0.27,0.44
43,0.9658040658099951,0.09,0.27,0.44
44,0.969073338294798,0.09,0.27,0.44
45,0.9559008111093699,0.09,0.27,0.44
46,0.9574179640544459,0.09,0.27,0.44
47,0.9492314262836972,0.09,0.27,0.44
48,0.9547006592348024,0.09,0.27,0.44
49,0.9515413952431655,0.09,0.27,0.44
50,0.9400647242094335,0.09,0.27,0.44
51,0.9456356792067179,0.09,0.27,0.44
52,0.9423666934741756,0.09,0.27,0.44
53,0.9376622969080288,0.09,0.27,0.44
54,0.9421647812985968,0.09,0.27,0.44
