epoch,loss,acc_0,acc_1,acc_2
0,16.20131038833787,0.04,0.12,0.2
1,8.723376482275853,0.04,0.13,0.21
2,7.575047179902384,0.04,0.13,0.21
3,6.791660143175153,0.04,0.13,0.22
4,6.471973928176848,0.04,0.13,0.22
5,6.238077576338773,0.04,0.13,0.22
6,5.809622048949373,0.04,0.13,0.22
7,5.728405048549437,0.04,0.13,0.22
8,5.524098383909286,0.04,0.13,0.22
9,5.271824916048207,0.04,0.13,0.22
10,5.187487425463341,0.04,0.13,0.22
11,5.059323117857118,0.04,0.13,0.22
12,4.844817058933685,0.04,0.13,0.22
13,4.758134220237399,0.04,0.13,0.22
14,4.671375426344431,0.04,0.13,0.22
15,4.496534950762424,0.04,0.13,0.22
16,4.425794781667991,0.04,0.13,0.22
17,4.3276064382344,0.04,0.13,0.22
18,4.1867210612595605,0.04,0.13,0.22
19,4.144241130604571,0.04,0.13,0.22
20,4.065166830823449,0.04,0.13,0.22
21,3.949042698304005,0.04,0.13,0.22
22,3.910323404754157,0.04,0.13,0.22
23,3.84343072741547,0.04,0.13,0.22
24,3.749270226571122,0.04,0.13,0.22
25,3.6869076323068235,0.04,0.13,0.22
26,3.64629721121145,0.04,0.13,0.22
27,3.560659310084983,0.04,0.13,0.22
28,3.5093880173777845,0.04,0.13,0.22
29,3.5072236675975224,0.04,0.13,0.22
30,3.423972193105132,0.04,0.13,0.22
31,3.400538192075816,0.04,0.13,0.22
32,3.3243607644980373,0.04,0.13,0.22
33,3.2819867537225678,0.04,0.13,0.22
34,3.2467168512327915,0.04,0.13,0.22
35,3.227729190520241,0.04,0.13,0.22
36,3.130563219541177,0.04,0.13,0.22
